movie_id,director_id,name,gender
8766,55116,Joe Chappelle,2.0
23570,32278,Matt Reeves,2.0
47333,24657,Franco Zeffirelli,2.0
54850,75474,Anna Campion,1.0
51242,49552,Franco Brusati,2.0
10112,57314,Wolfgang Reitherman,2.0
4307,309,Pedro Almodóvar,2.0
46029,37526,Fernando Trueba,0.0
32308,116103,Bill Couturié,2.0
88893,6818,Werner Herzog,2.0
52873,96627,André Téchiné,2.0
340210,54767,Mika Kaurismäki,2.0
44281,1044284,Férid Boughedir,0.0
28121,78029,Martin Lawrence,2.0
12520,72619,Stacy Title,0.0
1592,17812,Gregory Hoblit,2.0
166901,173004,Clément Virgo,0.0
36447,69719,Bruno Barreto,2.0
19042,71852,Paul Sabella,2.0
19042,952327,Larry Leker,2.0
38884,15488,Ken Loach,2.0
47449,974388,Hal Salwen,0.0
36259,70835,Jonathan R. Betuel,0.0
41852,73496,Richard Pearce,2.0
40926,230320,Todd Verow,0.0
9099,21217,Jonathan Lynn,2.0
2021,20773,Tim Sullivan,2.0
61752,5281,Spike Lee,2.0
10988,34682,Jeremiah S. Chechik,2.0
11479,69537,Hervé Palud,2.0
398959,43440,Martin Enlen,2.0
287305,68998,Carlo Rola,2.0
12652,20789,Claude Sautet,2.0
10684,9181,Edward Zwick,2.0
954,1150,Brian De Palma,2.0
68445,6759,Friðrik Þór Friðriksson,0.0
18989,2182,Pen Densham,2.0
10801,1869,Sönke Wortmann,0.0
54285,105617,Park Chul-soo,2.0
8840,18878,Rob Cohen,2.0
278978,14614,Joseph Vilsmaier,2.0
124625,26595,Michael Verhoeven,2.0
11107,54590,Steve Rash,2.0
16417,80526,Gray Hofmeyr,0.0
70934,559920,Richard Wherrett,0.0
10363,9740,René Clément,2.0
161070,4173,Anthony Hopkins,2.0
10539,57646,Henry Selick,2.0
10543,15890,James Foley,2.0
18414,64030,Kelly Makin,2.0
47502,47773,Paul Mazursky,2.0
11902,15254,Emir Kusturica,0.0
27098,96934,Bo Widerberg,2.0
25087,115983,Alan Mehrez,2.0
5801,12160,Satyajit Ray,2.0
896,12160,Satyajit Ray,2.0
3065,30021,Jim Mallon,2.0
2300,23677,Joe Pytka,2.0
8069,53767,Roger Vadim,2.0
288173,98940,Catherine Cyran,1.0
187851,98094,Brett Piper,2.0
27768,37852,George Hickenlooper,2.0
221917,12804,Peter Yates,2.0
8072,3776,Jean-Luc Godard,2.0
